species;audio_name;spectrogram_name;sec_i;sec_f
Acrocephalus arundinaceus;XC417157.mp3;XC417157_0.npy;2.168;3.168
Acrocephalus arundinaceus;XC417157.mp3;XC417157_1.npy;2.968;3.968
Acrocephalus arundinaceus;XC417157.mp3;XC417157_2.npy;3.768;4.768
Acrocephalus arundinaceus;XC417157.mp3;XC417157_3.npy;4.568;5.108
Acrocephalus arundinaceus;XC417157.mp3;XC417157_4.npy;19.289;20.289
Acrocephalus arundinaceus;XC417157.mp3;XC417157_5.npy;20.089;20.885
Acrocephalus arundinaceus;XC417158.mp3;XC417158_0.npy;3.496;4.496
Acrocephalus arundinaceus;XC417158.mp3;XC417158_1.npy;4.296;5.093
Acrocephalus arundinaceus;XC417158.mp3;XC417158_2.npy;9.991;10.991
Acrocephalus arundinaceus;XC417158.mp3;XC417158_3.npy;10.791;11.791
Acrocephalus arundinaceus;XC417158.mp3;XC417158_4.npy;11.591;12.591
Acrocephalus arundinaceus;XC417158.mp3;XC417158_5.npy;12.391;13.150
Acrocephalus arundinaceus;XC417158.mp3;XC417158_6.npy;18.651;19.651
Acrocephalus arundinaceus;XC417158.mp3;XC417158_7.npy;19.451;20.451
Acrocephalus arundinaceus;XC417158.mp3;XC417158_8.npy;20.251;21.251
Acrocephalus arundinaceus;XC417158.mp3;XC417158_9.npy;21.051;21.278
Acrocephalus arundinaceus;XC417158.mp3;XC417158_10.npy;41.739;42.739
Acrocephalus arundinaceus;XC417158.mp3;XC417158_11.npy;42.539;43.539
Acrocephalus arundinaceus;XC417158.mp3;XC417158_12.npy;43.339;43.709
Acrocephalus arundinaceus;XC417158.mp3;XC417158_13.npy;48.518;49.518
Acrocephalus arundinaceus;XC417158.mp3;XC417158_14.npy;49.318;50.318
Acrocephalus arundinaceus;XC417158.mp3;XC417158_15.npy;50.118;51.118
Acrocephalus arundinaceus;XC417158.mp3;XC417158_16.npy;50.918;51.918
Acrocephalus arundinaceus;XC417158.mp3;XC417158_17.npy;51.718;52.174
Acrocephalus arundinaceus;XC417158.mp3;XC417158_18.npy;56.841;57.841
Acrocephalus arundinaceus;XC417158.mp3;XC417158_19.npy;57.641;58.641
Acrocephalus arundinaceus;XC417158.mp3;XC417158_20.npy;58.441;59.441
Acrocephalus arundinaceus;XC417158.mp3;XC417158_21.npy;59.241;59.840
Acrocephalus arundinaceus;XC417425.mp3;XC417425_0.npy;0.000;1.000
Acrocephalus arundinaceus;XC417425.mp3;XC417425_1.npy;0.800;1.800
Acrocephalus arundinaceus;XC417425.mp3;XC417425_2.npy;1.600;2.600
Acrocephalus arundinaceus;XC417425.mp3;XC417425_3.npy;2.400;3.400
Acrocephalus arundinaceus;XC417425.mp3;XC417425_4.npy;3.200;3.780
Acrocephalus arundinaceus;XC417425.mp3;XC417425_5.npy;6.232;7.232
Acrocephalus arundinaceus;XC417425.mp3;XC417425_6.npy;7.032;8.032
Acrocephalus arundinaceus;XC417425.mp3;XC417425_7.npy;7.832;8.832
Acrocephalus arundinaceus;XC417425.mp3;XC417425_8.npy;8.632;9.632
Acrocephalus arundinaceus;XC417425.mp3;XC417425_9.npy;9.432;10.432
Acrocephalus arundinaceus;XC417425.mp3;XC417425_10.npy;10.232;10.750
Acrocephalus arundinaceus;XC417425.mp3;XC417425_11.npy;14.124;15.124
Acrocephalus arundinaceus;XC417425.mp3;XC417425_12.npy;14.924;15.924
Acrocephalus arundinaceus;XC417425.mp3;XC417425_13.npy;15.724;16.724
Acrocephalus arundinaceus;XC417425.mp3;XC417425_14.npy;16.524;17.524
Acrocephalus arundinaceus;XC417425.mp3;XC417425_15.npy;17.324;18.324
Acrocephalus arundinaceus;XC417425.mp3;XC417425_16.npy;18.124;19.124
